Timestamp,EX1_FAN_IN_RH_ITL_ETL,EX1_FAN_IN_TEMP_ITL_ETL,EX1_FAN_OUT_RH_ITL_ETL,EX1_FAN_OUT_TEMP_ITL_ETL,FA1_FAN_IN_RH_ITL_ETL,FA1_FAN_IN_TEMP_ITL_ETL,FA1_FAN_OUT_RH_ITL_ETL,FA1_FAN_OUT_TEMP_ITL_ETL,class
21-03-2018 07:05:00,55.93,21.33,48.01,28.83,42.91,30.02,51.95,25.99,1
21-03-2018 07:04:00,54.18,21.77,47.49,28.53,42.77,30.37,51.17,26.25,1
21-03-2018 07:03:00,53.86,21.71,47.38,29.11,42.67,30.24,50.87,26.58,1
21-03-2018 07:02:00,53.53,22.56,47.31,29.17,42.5,30.3,50.62,26.74,1
21-03-2018 07:01:00,53.42,23.03,47.3,29.55,42.43,30.37,50.4,27.22,1
21-03-2018 07:00:00,-6,23.57,47.3,29.54,42.36,30.31,50.22,27.47,1
21-03-2018 06:59:00,52.91,24.43,47.25,29.92,42.36,30.03,49.91,27.96,1
21-03-2018 06:58:00,52.58,25.17,47.1,29.72,42.03,30.25,49.59,28.31,1
21-03-2018 06:57:00,51.82,25.86,47.13,30.08,42.16,30.38,49.4,28.59,1
21-03-2018 06:56:00,51.69,26.44,47.22,30.15,42.09,30.4,49.4,28.75,1
21-03-2018 06:55:00,51.63,26.26,47.13,29.81,41.96,30.24,49.34,28.73,1
21-03-2018 06:54:00,51.57,26.5,47.09,30.49,41.85,30.2,49.27,28.66,1
21-03-2018 06:53:00,51.43,26.5,46.89,30.53,41.67,30.8,49.1,28.81,1
21-03-2018 06:52:00,51.51,26.29,47.02,29.97,41.81,30.42,49.2,28.74,1
21-03-2018 06:51:00,51.63,26.17,47.05,30.13,41.75,30.35,49.27,28.84,1
21-03-2018 06:50:00,51.6,26.07,47.09,30.2,41.79,30.48,49.27,28.93,1
21-03-2018 06:49:00,51.51,26.57,46.99,30.36,41.52,30.14,49.14,28.85,1
21-03-2018 06:48:00,51.46,26.33,46.83,30.02,41.47,30.43,49,28.86,1
21-03-2018 06:47:00,51.48,26.21,46.89,30.09,41.54,30.35,49.07,28.86,1
21-03-2018 06:46:00,51.51,26.19,47.05,30.17,41.67,30.39,49.14,28.78,1
21-03-2018 06:45:00,51.54,26.32,46.96,29.71,41.43,30.62,49.1,28.79,1
21-03-2018 06:44:00,51.57,26.07,47.06,30.19,41.62,30.3,49.16,28.7,1
21-03-2018 06:43:00,51.6,26.5,47.02,30.02,41.57,30.49,49.06,28.82,1
21-03-2018 06:42:00,51.51,26.29,46.79,29.96,41.16,30.48,48.86,28.67,1
21-03-2018 06:41:00,51.42,26.44,46.93,30.08,41.33,30.55,48.92,29.19,1
21-03-2018 06:40:00,51.48,26.64,47.09,30.26,41.33,30.45,48.95,29,1
21-03-2018 06:39:00,51.51,26.78,47.1,29.96,41.33,30.43,48.92,28.92,1
21-03-2018 06:38:00,51.51,26.67,47.24,30.25,41.33,30.5,48.85,28.91,1
21-03-2018 06:32:00,52.25,26.33,50.9,27.86,41.12,30.52,46.47,30.83,2
21-03-2018 06:31:00,52.49,26.21,51.17,27.5,40.88,30.66,46.31,30.89,2
21-03-2018 06:30:00,52.96,25.83,51.55,27.57,40.81,30.98,46.44,30.79,2
21-03-2018 06:29:00,53.88,25.83,52.29,27.14,41.05,30.69,46.72,30.72,2
21-03-2018 06:28:00,54.64,25.22,52.94,27.07,40.98,30.59,46.83,30.49,2
21-03-2018 06:27:00,55.7,24.67,53.9,26.17,40.95,30.61,46.97,30.23,2
21-03-2018 06:26:00,57.22,24.14,55.1,25.77,41.05,30.77,47.18,30.12,2
21-03-2018 06:25:00,60.51,22.69,57.31,24.34,41.08,30.67,47.25,30.09,2
21-03-2018 06:24:00,63.46,21.49,57.93,24.46,40.67,30.99,47.03,30.25,2
21-03-2018 06:23:00,61.65,21.47,56.58,24.5,40.84,31.01,47.03,30.17,2
21-03-2018 06:22:00,59.91,21.33,55.2,24.6,40.94,30.74,46.83,30.39,2
21-03-2018 06:21:00,57.44,21.12,53.35,24.46,41,30.67,46.6,30.54,2
21-03-2018 06:20:00,55.14,21.88,51.73,24.96,40.91,30.95,46.31,30.42,2
21-03-2018 06:19:00,54.36,22.23,51.23,25.18,40.84,31.02,46.08,30.46,2
21-03-2018 06:18:00,53.56,22.73,50.52,25.91,40.29,30.89,45.6,30.5,2
21-03-2018 06:17:00,52.89,23,49.94,26.04,40.29,30.94,45.56,30.78,2
21-03-2018 06:16:00,52.13,23.64,49.4,26.35,40.59,31.18,45.62,30.67,2
21-03-2018 06:15:00,51.36,24.41,48.85,26.84,40.83,30.93,45.71,30.84,2
21-03-2018 06:14:00,50.49,25.45,48.21,27.46,40.72,31.05,45.64,31.03,2
21-03-2018 06:13:00,49.65,26.35,47.77,28.74,40.58,31.07,45.43,31.23,2
21-03-2018 06:12:00,48.67,27.53,47.41,29.17,40.68,31.11,45.52,31.37,2
21-03-2018 06:11:00,49,28,47.75,28.85,40.64,31.12,45.56,31.28,2
21-03-2018 06:10:00,49.04,27.91,47.81,29.49,40.61,31.07,45.56,31.45,2
21-03-2018 06:09:00,48.9,27.8,47.77,29.05,40.54,31.26,45.45,31.26,2
21-03-2018 06:08:00,48.97,27.67,47.71,29.28,40.51,31.2,45.42,31.32,2
21-03-2018 06:07:00,48.76,27.76,47.57,29.07,40.26,31.37,45.21,31.63,2
21-03-2018 06:06:00,48.7,27.82,47.5,29.25,39.98,31.51,45.07,31.31,2
21-03-2018 06:05:00,48.8,27.79,47.64,29.06,40.19,31.3,45.21,31.52,2
21-03-2018 06:04:00,48.83,27.92,47.67,29.29,40.26,31.21,45.21,31.44,2
21-03-2018 06:03:00,48.87,27.67,47.64,29.18,40.12,31.58,45.11,31.53,2
21-03-2018 06:02:00,48.73,27.72,47.57,29.58,39.88,31.36,44.97,31.64,2
21-03-2018 06:01:00,48.9,27.73,47.6,29.3,39.74,31.53,44.93,31.65,2
21-03-2018 06:00:00,48.9,27.95,47.6,29.28,39.97,31.42,45.03,31.77,2
21-03-2018 05:59:00,48.87,27.69,47.6,29.52,39.81,31.67,44.93,31.6,2
